1231;Harvey;Blake;6012223254;224;Kronk Street;Kuzcotown;22588;Blakey;PulltheLever;1234567891011121;Nov21;321;MestorCord;2020/02/13
4458;Corey;Harven;6015558745;258;Looney Road;Crazytown;36937;CorneyGal;WrongLevor;9876543210122365;Dec22;555;Peesa;2020/03/11
3698;Donald;Dukes;2222222225;333;Ducky Street;Mouseville;88857;DukesisBest;HatesTheGoofs;7889887457554378;Mar21;778;Discorvor;2019/10/24
6689;Daily;Duck;4478754854;789;Bondan Boulivard;Dukitiduck;78965;DuleyDukFacts;Duckisduck;7862514654864215;Apr20;787;MestorCord;2019/11/18
7485;Glados;Appeture;6025324152;001;Science Road;Underground;73415;ScienceRools;HaveSomeCake;156849161354968;May21;852;Peesa;2020/01/28
9852;Chell;Portal;6632158654;002;Science Road;Underground;73415;PortalPotato;CakeisALie;1568491613549682;May21;852;Peesa;2020/01/15
2154;Belle;Beaste;2136543215;521;Castle Street;Midofnowhere;84578;Bookworms;BeautyTames;NULL;NULL;NULL;NULL;2020/02/14
9764;Bruce;Wine;1478521478;654;Rich Boulevard;Gotham;75482;HateTheJoker;DefNotBatman;NULL;NULL;NULL;NULL;2019/10/26
3164;Batt;Mann;9786453578;883;Battcave Road;Gotham;75482;BattName;DefNotBruce;NULL;NULL;NULL;NULL;2019/10/26
8552;Joke;Earn;7896582647;1456;Arcmah Street;Gotham;96325;LaughKing;LoveTheBatt;NULL;NULL;NULL;NULL;2019/10/27
