9966;Charles;Bacon;0;487553211;7418529632;785;Pork Way;Grillton;78984;BaconC;012345;Regional Manager;admin;2020/08/19;NULL;11;33215
9785;Malet;Brown;0;852967532;7823982718;969;Turning Avenue;Litora;96969;BrownM;012346;Store Manager;manager;2020/08/25;NULL;13;33216
0001;Linko;Rando;10013;742331258;3928175645;647;Linkon Street;Pranto;74855;RandoL;012347;Store Manager;manager;2018/12/12;NULL;14;33217
2156;Brena;Kales;20026;654213698;1254872365;258;Harvey Road;Scareton;78984;KalesB;012348;Store Manager;manager;2019/10/21;NULL;01;33218
9638;Mandro;Labora;0;654321548;1254864215;220;Quitter Street;Quitoni;52145;LaboraM;002546;Regional Manager;admin;2017/05/13;2020/07/20;0;32215
7418;Jana;Libora;30039;321111546;3126459546;152;Mortar Road;Kingra;13215;LiboraJ;012349;Store Manager;manager;2019/12/12;NULL;15;33210
5253;Frank;Sland;0;312886451;6012253216;215;Hinkra Avenue;Litora;96969;SlandF;022345;Sales Clerk;associate;2019/12/30;NULL;02;34218
9764;Quinton;Harty;10013;321664985;3259874321;325;Trinket Road;Pranto;74855;HartyQ;023346;Sales Clerk;associate;2019/03/24;NULL;08;35628
9633;Rita;Bandra;20026;785649162;1235486542;654;Ringo Street;Scareton;78984;BandraR;032345;Sales Clerk;associate;2019/09/02;NULL;10;35642
5524;Cando;Mitroshka;30039;265483698;8529653658;988;Crenta Road;Kingra;13215;MitroshkaC;033345;Sales Clerk; associate;2019/10/27;NULL;07;33215
