33215;9966;Charles;Bacon;Salary;14615;Monthly;1.5;15;Trimonthly
33216;9785;Malet;Brown;Salary;11162;Monthly;1.5;15;Trimonthly
33217;0001;Linko;Rando;Salary;12356;Monthly;1.5;15;Trimonthly
33218;2156;Brena;Kales;Salary;11653;Monthly;1.5;15;Trimonthly
32215;9638;Mandro;Labora;Salary;11864;Monthly;1.5;15;Trimonthly
33210;7418;Jana;Libora;Salary;123546;Monthly;1.5;15;Trimonthly
34218;5253;Frank;Sland;Hourly;7.25;Biweekly;1.5;15;Trimonthly
35628;9764;Quinton;Harty;Hourly;7.75;Weekly;1.5;15;Trimonthly
35642;9633;Rita;Bandra;Hourly;8.00;Weekly;1.5;15;Trimonthly
33243;5524;Cando;Mitroshka;Hourly;7.65;Biweekly;1.5;15;Trimonthly
